Date,Open,High,Low,Close,Adj Close,Volume
2012-08-31,14.850000,15.005000,14.382500,14.842500,14.836033,7034000
2012-09-04,14.752500,14.937500,14.337500,14.780000,14.773560,6234400
2012-09-05,14.747500,14.940000,14.607500,14.712500,14.706089,4201200
2012-09-06,14.997500,15.715000,14.990000,15.685000,15.678166,6444000
2012-09-07,15.605000,15.717500,15.507500,15.617500,15.610696,4569600
2012-09-10,15.522500,15.612500,15.007500,15.042500,15.035945,6275200
2012-09-11,15.035000,15.215000,14.895000,14.977500,14.970975,5848000
2012-09-12,15.122500,15.217500,14.822500,15.107500,15.100918,6412000
2012-09-13,15.147500,15.907500,15.085000,15.710000,15.703156,9734000
2012-09-14,15.900000,16.299999,15.865000,16.112499,16.105478,11932400
2012-09-17,16.165001,16.165001,15.975000,16.142500,16.135468,6346800
2012-09-18,16.020000,16.207500,16.020000,16.172501,16.165453,4197600
2012-09-19,16.190001,16.402500,16.045000,16.280001,16.272907,5730000
2012-09-20,16.042500,16.272499,15.917500,16.242500,16.235424,6038400
2012-09-21,16.480000,16.512501,16.200001,16.242500,16.235424,6044000
2012-09-24,15.835000,16.040001,15.737500,15.942500,15.935555,5828000
2012-09-25,16.087500,16.187500,15.262500,15.302500,15.295833,6381200
2012-09-26,15.215000,15.247500,14.680000,14.900000,14.893508,10200000
2012-09-27,15.012500,15.630000,14.945000,15.532500,15.525733,7635200
2012-09-28,15.365000,15.512500,15.100000,15.160000,15.153395,6582400
2012-10-01,15.375000,15.642500,14.930000,15.095000,15.088423,6520800
2012-10-02,15.280000,15.410000,14.855000,15.192500,15.185881,6876800
2012-10-03,15.330000,15.567500,15.145000,15.480000,15.473255,6659200
2012-10-04,15.587500,15.782500,15.422500,15.660000,15.653176,6347600
2012-10-05,15.890000,15.950000,15.285000,15.390000,15.383295,4855600
2012-10-08,15.137500,15.227500,14.872500,14.982500,14.975972,4368400
2012-10-09,14.847500,14.862500,14.160000,14.212500,14.206306,7591200
2012-10-10,14.260000,14.370000,13.975000,14.040000,14.033883,6492000
2012-10-11,14.380000,14.387500,13.890000,13.915000,13.908937,5933200
2012-10-12,13.930000,14.132500,13.820000,13.912500,13.906439,4549200
